name,adres,website,telefoon,reviews_count,reviews_average,latitude,longitude,search_keyword
Broekman Logistics B.V.,N/A,ddlogistics.nl,N/A,1,5.0,51.8351321,5.8255674,"Nederland, Nijmegen-Oost, Logistics Companies"
Unknown,N/A,N/A,N/A,0,0.0,51.8481762,5.716072,"Nederland, Nijmegen-Oost, Car Dealerships"
"Oostendorp Toyota, Suzuki Nijmegen",N/A,oostendorp-autogroep.nl,N/A,388,4.5,51.8481762,5.716072,"Nederland, Nijmegen-Oost, Car Dealerships"
Auto Traa BV,N/A,auto-traa.nl,N/A,184,4.5,51.8481762,5.716072,"Nederland, Nijmegen-Oost, Car Dealerships"
Autohuis Nijmegen | Bekijk ons gevarieerde aanbod occasions in Nijmegen,N/A,autohuisnijmegen.nl,N/A,83,4.9,51.8481762,5.716072,"Nederland, Nijmegen-Oost, Car Dealerships"
Unknown,N/A,N/A,N/A,35,3.9,51.8481186,5.7160718,"Nederland, Nijmegen-Oud-West, Logistics Companies"
Broekman Logistics B.V.,N/A,broekmanlogistics.com,N/A,35,3.9,51.8481186,5.7160718,"Nederland, Nijmegen-Oud-West, Logistics Companies"
Mark Huisman Logistics,N/A,mhuismanlogistics.eu,N/A,57,4.5,51.8481186,5.7160718,"Nederland, Nijmegen-Oud-West, Logistics Companies"
Mark Huisman Logistics,N/A,yormax.nl,N/A,0,0.0,51.8481186,5.7160718,"Nederland, Nijmegen-Oud-West, Logistics Companies"
Unknown,N/A,N/A,N/A,0,0.0,51.8480611,5.7160717,"Nederland, Nijmegen-Oud-West, Car Dealerships"
Auto Traa BV,N/A,auto-traa.nl,N/A,184,4.5,51.8480611,5.7160717,"Nederland, Nijmegen-Oud-West, Car Dealerships"
Auto Traa BV,N/A,oostendorp-autogroep.nl,N/A,388,4.5,51.8480611,5.7160717,"Nederland, Nijmegen-Oud-West, Car Dealerships"
"Oostendorp Toyota, Suzuki Nijmegen",N/A,westautos.nl,N/A,33,4.0,51.8480611,5.7160717,"Nederland, Nijmegen-Oud-West, Car Dealerships"
Unknown,N/A,N/A,N/A,35,0.0,51.8480035,5.7160715,"Nederland, Nijmegen-Zuid, Logistics Companies"
Broekman Logistics B.V.,N/A,broekmanlogistics.com,N/A,35,3.9,51.8480035,5.7160715,"Nederland, Nijmegen-Zuid, Logistics Companies"
Broekman Logistics B.V.,N/A,europe.xpo.com,N/A,8,4.4,51.8480035,5.7160715,"Nederland, Nijmegen-Zuid, Logistics Companies"
Unknown,N/A,N/A,N/A,569,3.9,51.8286947,5.6088188,"Nederland, Nijmegen-Zuid, Car Dealerships"
Wassink Autogroep Nijmegen,N/A,wassinkautogroep.nl,N/A,569,3.9,51.8286947,5.6088188,"Nederland, Nijmegen-Zuid, Car Dealerships"
Auto Traa BV,N/A,auto-traa.nl,N/A,184,4.5,51.816882,5.6814884,"Nederland, Nijmegen-Zuid, Car Dealerships"
Unknown,N/A,N/A,N/A,0,0.0,51.8397167,5.8369371,"Nederland, Nijmegen, Music Festivals"
Drift Festival,N/A,driftfestival.nl,N/A,143,4.5,51.8397167,5.8369371,"Nederland, Nijmegen, Music Festivals"
Unknown,N/A,N/A,N/A,175,0.0,51.8330526,5.8453995,"Nederland, Nijmegen, Sporting Events"
Sportproductions,N/A,sportproductions.nl,N/A,175,4.8,51.8330526,5.8453995,"Nederland, Nijmegen, Sporting Events"
Global Sports Communication B.V.,N/A,globalsportscommunication.nl,N/A,4,5.0,51.8330526,5.8453995,"Nederland, Nijmegen, Sporting Events"
Sport Event,N/A,sportevent.nl,N/A,1,5.0,51.8992249,5.7362909,"Nederland, Nijmegen, Sporting Events"
Unknown,N/A,N/A,N/A,6,0.0,51.8991943,5.6744901,"Nederland, Nijmegen-Midden, Music Festivals"
Music Meeting Festival,N/A,musicmeeting.nl,N/A,6,4.3,51.8991943,5.6744901,"Nederland, Nijmegen-Midden, Music Festivals"
Music Meeting Festival,N/A,driftfestival.nl,N/A,143,4.5,51.8991943,5.6744901,"Nederland, Nijmegen-Midden, Music Festivals"
Unknown,N/A,N/A,N/A,175,4.8,51.8991368,5.6744899,"Nederland, Nijmegen-Midden, Sporting Events"
Sportproductions,N/A,sportproductions.nl,N/A,175,4.8,51.8991368,5.6744899,"Nederland, Nijmegen-Midden, Sporting Events"
Sportproductions,N/A,janmassinkhal.nl,N/A,821,4.0,51.8991368,5.6744899,"Nederland, Nijmegen-Midden, Sporting Events"
Studievereniging Tri Movere,N/A,trimovere.nl,N/A,2,5.0,51.8185263,5.723399,"Nederland, Nijmegen-Midden, Sporting Events"
Sport Event,N/A,sportevent.nl,N/A,1,5.0,51.8992249,5.6281442,"Nederland, Nijmegen-Midden, Sporting Events"
Unknown,N/A,N/A,N/A,143,0.0,51.8401828,5.8343918,"Nederland, Nijmegen-Nieuw-West, Music Festivals"
Drift Festival,N/A,driftfestival.nl,N/A,143,4.5,51.8401828,5.8343918,"Nederland, Nijmegen-Nieuw-West, Music Festivals"
BCKYRD Festival,N/A,bckyrdfestival.nl,N/A,0,0.0,51.8555723,5.8006089,"Nederland, Nijmegen-Nieuw-West, Music Festivals"
Iconic Festival B.V.,N/A,iconicfestival.nl,N/A,13,4.1,51.8555723,5.8006089,"Nederland, Nijmegen-Nieuw-West, Music Festivals"
Iconic Festival B.V.,N/A,devasim-nijmegen.nl,N/A,507,4.4,51.8555723,5.8006089,"Nederland, Nijmegen-Nieuw-West, Music Festivals"
Unknown,N/A,N/A,N/A,175,4.8,51.8555687,5.8006089,"Nederland, Nijmegen-Nieuw-West, Sporting Events"
Sportproductions,N/A,sportproductions.nl,N/A,175,4.8,51.8555687,5.8006089,"Nederland, Nijmegen-Nieuw-West, Sporting Events"
Sport Event,N/A,sportevent.nl,N/A,1,5.0,51.8992249,5.7362909,"Nederland, Nijmegen-Nieuw-West, Sporting Events"
Unknown,N/A,N/A,N/A,0,0.0,51.8481778,5.8004152,"Nederland, Nijmegen-Noord, Music Festivals"
Music Meeting Festival,N/A,musicmeeting.nl,N/A,6,4.3,51.8481778,5.8004152,"Nederland, Nijmegen-Noord, Music Festivals"
Music Meeting Festival,N/A,doornroosje.nl,N/A,3407,4.6,51.8444835,5.830621,"Nederland, Nijmegen-Noord, Music Festivals"
Unknown,N/A,N/A,N/A,0,0.0,51.8444799,5.830621,"Nederland, Nijmegen-Noord, Sporting Events"
Sportproductions,N/A,sportproductions.nl,N/A,175,4.8,51.8444799,5.830621,"Nederland, Nijmegen-Noord, Sporting Events"
Unknown,N/A,N/A,N/A,0,0.0,51.8444763,5.830621,"Nederland, Nijmegen-Oost, Music Festivals"
Eastside Bluesfestival,N/A,eastside-bluesfestival.nl,N/A,0,0.0,51.8444763,5.830621,"Nederland, Nijmegen-Oost, Music Festivals"
Concertgebouw De Vereeniging,N/A,stadsschouwburgendevereeniging.nl,N/A,1762,4.4,51.8444763,5.830621,"Nederland, Nijmegen-Oost, Music Festivals"
Concertgebouw De Vereeniging,N/A,kelfkensbosfestival.nl,N/A,2,4.0,51.8444763,5.830621,"Nederland, Nijmegen-Oost, Music Festivals"
Unknown,N/A,N/A,N/A,0,0.0,51.8444727,5.830621,"Nederland, Nijmegen-Oost, Sporting Events"
Unknown,N/A,sportproductions.nl,N/A,175,4.8,51.8444727,5.830621,"Nederland, Nijmegen-Oost, Sporting Events"
Nijmegen Evenementen B.V.,N/A,nijmegenevenementen.nl,N/A,0,0.0,51.8444727,5.830621,"Nederland, Nijmegen-Oost, Sporting Events"
Sport Event,N/A,sportevent.nl,N/A,1,5.0,51.8444727,5.830621,"Nederland, Nijmegen-Oost, Sporting Events"
Unknown,N/A,N/A,N/A,143,4.5,51.8444691,5.830621,"Nederland, Nijmegen-Oud-West, Music Festivals"
Unknown,N/A,driftfestival.nl,N/A,143,4.5,51.8444691,5.830621,"Nederland, Nijmegen-Oud-West, Music Festivals"
Concertgebouw De Vereeniging,N/A,stadsschouwburgendevereeniging.nl,N/A,1762,4.4,51.8414767,5.8249944,"Nederland, Nijmegen-Oud-West, Music Festivals"
Unknown,N/A,N/A,N/A,175,4.8,51.8414731,5.8249944,"Nederland, Nijmegen-Oud-West, Sporting Events"
Sportproductions,N/A,sportproductions.nl,N/A,175,4.8,51.8414731,5.8249944,"Nederland, Nijmegen-Oud-West, Sporting Events"
Sportproductions,N/A,forfunoutdoor.nl,N/A,4,4.8,51.8414731,5.8249944,"Nederland, Nijmegen-Oud-West, Sporting Events"
Unknown,N/A,N/A,N/A,6,4.3,51.8481778,5.8004152,"Nederland, Nijmegen-Zuid, Music Festivals"
Music Meeting Festival,N/A,musicmeeting.nl,N/A,6,4.3,51.8481778,5.8004152,"Nederland, Nijmegen-Zuid, Music Festivals"
Nijmegen Circus Theater Muziek,N/A,oltgoffert.nl,N/A,104,4.7,51.8380804,5.8228349,"Nederland, Nijmegen-Zuid, Music Festivals"
Unknown,N/A,N/A,N/A,0,0.0,51.8380768,5.8228349,"Nederland, Nijmegen-Zuid, Sporting Events"
Sportproductions,N/A,globalsportscommunication.nl,N/A,4,5.0,51.8380768,5.8228349,"Nederland, Nijmegen-Zuid, Sporting Events"
Global Sports Communication B.V.,N/A,nmhc.nl,N/A,141,4.2,51.8137328,5.8141097,"Nederland, Nijmegen-Zuid, Sporting Events"
Unknown,N/A,N/A,N/A,0,0.0,51.8480895,5.7482265,"Nederland, Nijmegen, Dental Offices"
Samenwerkende Tandartsen Nijmegen - de Tandarts,N/A,mondzorgoost.nl,N/A,40,4.3,51.8480895,5.7482265,"Nederland, Nijmegen, Dental Offices"
Tandartspraktijk O.G.H. Bosch,N/A,tandartsbosch-nijmegen.nl,N/A,34,3.6,51.8480895,5.7482265,"Nederland, Nijmegen, Dental Offices"
Unknown,N/A,N/A,N/A,0,0.0,51.8480319,5.7482264,"Nederland, Nijmegen, Auto Repair Shops"
Bosch Car Service - Wijnne,N/A,wijnne.nl,N/A,98,4.2,51.8480319,5.7482264,"Nederland, Nijmegen, Auto Repair Shops"
Bosch Car Service - Wijnne,N/A,autoserviceportaal.nl,N/A,77,4.8,51.843184,5.660086,"Nederland, Nijmegen, Auto Repair Shops"
Unknown,N/A,N/A,N/A,0,0.0,51.8431264,5.6600859,"Nederland, Nijmegen-Midden, Dental Offices"
Samenwerkende Tandartsen Nijmegen - de Tandarts,N/A,nijmegendetandarts.nl,N/A,80,4.2,51.8431264,5.6600859,"Nederland, Nijmegen-Midden, Dental Offices"
Mondzorg Kastanjelaan,N/A,tandartsnijmegen.nl,N/A,12,3.9,51.8395623,5.7360171,"Nederland, Nijmegen-Midden, Dental Offices"
Unknown,N/A,N/A,N/A,0,0.0,51.8395047,5.736017,"Nederland, Nijmegen-Midden, Auto Repair Shops"
Bosch Car Service - Wijnne,N/A,wijnne.nl,N/A,98,4.2,51.8395047,5.736017,"Nederland, Nijmegen-Midden, Auto Repair Shops"
Unknown,N/A,dental-styling.nl,N/A,18,4.2,51.8431264,5.6600859,"Nederland, Nijmegen-Nieuw-West, Dental Offices"
Tandartsspoedpraktijk CWZ,N/A,tandartsspoedpraktijk.nl,N/A,58,3.8,51.8431264,5.6600859,"Nederland, Nijmegen-Nieuw-West, Dental Offices"
Samenwerkende Tandartsen Nijmegen - de Tandarts,N/A,nijmegendetandarts.nl,N/A,80,4.2,51.8431264,5.6600859,"Nederland, Nijmegen-Nieuw-West, Dental Offices"
Unknown,N/A,N/A,N/A,0,0.0,51.8430689,5.6600857,"Nederland, Nijmegen-Nieuw-West, Auto Repair Shops"
Bosch Car Service - Wijnne,N/A,wijnne.nl,N/A,98,4.2,51.8430689,5.6600857,"Nederland, Nijmegen-Nieuw-West, Auto Repair Shops"
MH automotive,N/A,mhautomotive.nl,N/A,26,4.8,51.8430689,5.6600857,"Nederland, Nijmegen-Nieuw-West, Auto Repair Shops"
MH automotive,N/A,autoservicevankruijsbergen.nl,N/A,61,4.7,51.8430689,5.6600857,"Nederland, Nijmegen-Nieuw-West, Auto Repair Shops"
Unknown,N/A,N/A,N/A,44,4.9,51.8430113,5.6600855,"Nederland, Nijmegen-Noord, Dental Offices"
Tandrijk Mondzorg,N/A,tandrijkmondzorg.nl,N/A,44,4.9,51.8430113,5.6600855,"Nederland, Nijmegen-Noord, Dental Offices"
Tandartspraktijk Nijmegen,N/A,tandartspraktijknijmegen.nl,N/A,21,3.7,51.8395623,5.7360171,"Nederland, Nijmegen-Noord, Dental Offices"
